127.0.0.1, 2019-04-05 10:13:13, GET, /, HTTP/1.1, 303, 0.012696
127.0.0.1, 2019-04-05 10:13:14, GET, /welcome/default/index, HTTP/1.1, 200, 1.831383
127.0.0.1, 2019-04-05 10:13:15, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002957
127.0.0.1, 2019-04-05 10:13:15, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.002928
127.0.0.1, 2019-04-05 10:13:15, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001209
127.0.0.1, 2019-04-05 10:13:15, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.002928
127.0.0.1, 2019-04-05 10:13:15, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.002928
127.0.0.1, 2019-04-05 10:13:15, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001952
127.0.0.1, 2019-04-05 10:13:15, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.002076
127.0.0.1, 2019-04-05 10:13:15, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.003904
127.0.0.1, 2019-04-05 10:13:15, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.002888
127.0.0.1, 2019-04-05 10:13:15, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2019-04-05 10:13:16, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001951
127.0.0.1, 2019-04-19 10:03:05, GET, /, HTTP/1.1, 303, 0.023000
127.0.0.1, 2019-04-19 10:03:06, GET, /welcome/default/index, HTTP/1.1, 500, 1.107000
127.0.0.1, 2019-04-19 10:03:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-04-19 10:03:15, GET, /admin/default/ticket/welcome/127.0.0.1.2019-04-19.10-03-05.3e3acfd8-dadc-4367-a01f-d551426728d2, HTTP/1.1, 303, 0.438000
127.0.0.1, 2019-04-19 10:03:15, GET, /admin/default/index, HTTP/1.1, 200, 0.167000
127.0.0.1, 2019-04-19 10:03:15, GET, /admin/static/_2.18.4/js/jquery.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-04-19 10:03:15, GET, /admin/static/_2.18.4/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-04-19 10:03:15, GET, /admin/static/_2.18.4/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-04-19 10:03:15, GET, /admin/static/_2.18.4/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-04-19 10:03:15, GET, /admin/static/_2.18.4/css/bootstrap.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-04-19 10:03:15, GET, /admin/static/_2.18.4/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-04-19 10:03:15, GET, /admin/static/_2.18.4/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-04-19 10:03:15, GET, /admin/static/_2.18.4/js/calendar.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-04-19 10:03:15, GET, /admin/static/_2.18.4/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-04-19 10:03:15, GET, /admin/static/_2.18.4/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-04-19 10:03:15, GET, /admin/static/_2.18.4/plugin_multiselect/start.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-04-19 10:03:15, GET, /admin/static/_2.18.4/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-04-19 10:03:15, GET, /admin/static/_2.18.4/js/bootstrap.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-04-19 10:03:15, GET, /admin/static/_2.18.4/images/questions.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2019-04-19 10:03:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-04-19 10:03:45, GET, /start, HTTP/1.1, 200, 0.818000
127.0.0.1, 2019-04-19 10:03:45, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-04-19 10:03:45, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-04-19 10:03:45, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2019-04-19 10:03:45, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-04-19 10:03:45, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2019-04-19 10:03:45, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2019-04-19 10:03:45, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2019-04-19 10:03:45, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2019-04-19 10:03:45, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2019-04-19 10:03:45, GET, /start/static/js/marked.min.js, HTTP/1.1, 200, 0.007000
127.0.0.1, 2019-04-19 10:03:45, GET, /start/static/js/vue.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-04-19 10:03:46, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.003000
127.0.0.1, 2019-04-19 10:03:46, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2019-04-19 10:03:51, GET, /start/default/index, HTTP/1.1, 200, 0.052000
127.0.0.1, 2019-04-19 10:03:52, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2019-04-19 10:03:53, GET, /admin/default/site, HTTP/1.1, 303, 0.017000
127.0.0.1, 2019-04-19 10:03:54, GET, /admin/default/index, HTTP/1.1, 200, 0.124000
127.0.0.1, 2019-04-19 10:03:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-04-19 10:04:00, GET, /start/, HTTP/1.1, 200, 0.031000
127.0.0.1, 2019-04-19 10:04:00, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2019-04-19 10:15:01, GET, /admin/default/index, HTTP/1.1, 200, 0.227000
127.0.0.1, 2019-04-19 10:15:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-04-19 10:33:55, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2019-04-19 10:33:56, GET, /start/default/entry1, HTTP/1.1, 404, 0.029000
127.0.0.1, 2019-04-19 10:33:57, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
